raceid,year,constructorid,fastestLapTime,fastestLapSpeed,grid,position,statusId,
18,2008,1,01:27.5,218.3,1,1,finished,
18,2008,2,01:27.7,217.586,5,2,finished,
18,2008,3,01:28.1,216.719,7,3,finished,
18,2008,4,01:28.6,215.464,11,4,finished,
18,2008,1,01:27.4,218.385,3,5,finished,
18,2008,3,01:29.6,212.974,13,6,finished,
18,2008,5,01:29.5,213.224,17,7,finished,
18,2008,6,01:27.9,217.18,15,8,finished,
18,2008,2,01:28.8,215.1,2,R,accident,
18,2008,7,01:29.6,213.166,18,R,accident,
18,2008,8,01:30.9,210.038,19,R,DNF,
18,2008,4,01:31.4,208.907,20,R,DNF,
18,2008,6,01:28.2,216.51,4,R,DNF,
18,2008,9,01:29.5,213.3,8,R,accident,
18,2008,7,01:29.3,213.758,6,R,DNF,
18,2008,10,01:32.0,207.461,22,R,DNF,
18,2008,9,\N,\N,14,R,accident,
18,2008,11,\N,\N,12,R,accident,
18,2008,8,\N,\N,21,R,accident,
18,2008,5,\N,\N,9,R,accident,
18,2008,10,\N,\N,16,R,accident,
18,2008,11,01:28.7,215.141,10,D,DNF,
19,2008,6,01:35.4,209.158,2,1,finished,
19,2008,2,01:35.9,208.033,4,2,finished,
19,2008,1,01:35.9,208.031,8,3,finished,
19,2008,7,01:36.1,207.715,3,4,finished,
19,2008,1,01:35.5,209.033,9,5,finished,
19,2008,2,01:35.4,209.244,5,6,finished,
19,2008,9,01:36.7,206.366,6,7,finished,
19,2008,4,01:36.3,207.24,7,8,finished,
19,2008,9,01:36.2,207.417,12,9,finished,
19,2008,11,01:35.7,208.481,11,10,finished,
19,2008,4,01:37.0,205.812,13,11,finished,
19,2008,10,01:37.0,205.8,17,12,finished,
19,2008,11,01:36.7,206.372,14,13,finished,
19,2008,3,01:36.8,206.182,16,14,finished,
19,2008,8,01:38.2,203.265,21,15,finished,
19,2008,8,01:38.5,202.578,19,16,finished,
19,2008,3,01:37.7,204.222,22,17,finished,
19,2008,5,01:36.9,205.995,15,R,DNF,
19,2008,6,01:35.9,208.048,1,R,accident,
19,2008,10,01:40.3,198.891,20,R,DNF,
19,2008,7,\N,\N,10,R,accident,
19,2008,5,\N,\N,18,R,accident,
20,2008,6,01:33.6,208.153,2,1,finished,
20,2008,6,01:33.7,207.911,4,2,finished,
20,2008,2,01:33.8,207.765,1,3,finished,
20,2008,2,01:33.6,208.231,6,4,finished,
20,2008,1,01:33.2,209.062,5,5,finished,
